mc t0:0 5568, 5977, 21799 ,22366 
mc t0:0 5586, 5964, 21820 ,22340 
mc t0:0 5577, 6037, 21820 ,22340 
mc t0:0 5524, 6042, 21791 ,22332 
mc t0:0 5555, 5994, 21799 ,22340 
mc t0:0 5550, 5973, 21816 ,22340 
mc t0:0 5564, 5955, 21796 ,22340 
mc t0:0 5581, 5964, 21825 ,22366 
mc t0:0 5564, 5968, 21796 ,22327 
mc t0:0 5595, 5955, 21804 ,22340 
mc t0:0 5537, 5973, 21808 ,22383 
mc t0:0 5560, 5964, 21828 ,22344 
mc t0:0 5564, 5964, 21796 ,22314 
mc t0:0 5537, 5973, 21796 ,22335 
mc t0:0 5511, 5977, 21779 ,22319 
mc t0:0 5547, 5968, 21828 ,22327 
mc t0:0 5568, 5973, 21808 ,22340 
mc t0:0 5573, 5998, 21791 ,22340 
mc t0:0 5550, 5968, 21825 ,22378 
mc t0:0 5564, 5977, 21796 ,22335 
mc t0:0 5560, 6024, 21791 ,22335 
mc t0:0 5568, 5981, 21820 ,22322 
mc t0:0 5555, 5955, 21837 ,22344 
mc t0:0 5586, 6016, 21812 ,22322 
mc t0:0 5555, 5942, 21812 ,22353 
mc t0:0 5560, 5968, 21787 ,22327 
mc t0:0 5560, 6016, 21796 ,22366 
mc t0:0 5581, 6011, 21816 ,22310 
mc t0:0 5529, 5973, 21812 ,22353 
mc t0:0 5564, 5977, 21771 ,22327 
mc t0:0 5568, 6024, 21812 ,22348 
mc t0:0 5550, 5981, 21820 ,22310 
mc t0:0 5560, -330, 21833 ,22340 
mc t0:0 5573, -330, 21816 ,22327 
mc t0:0 5591, 5960, 21799 ,22314 
mc t0:0 5547, 5998, 21796 ,22332 
mc t0:0 5581, 5994, 21837 ,22366 
mc t0:0 5568, 5973, 21787 ,22366 
mc t0:0 5547, 5947, 21796 ,22370 
mc t0:0 5564, 5968, 21816 ,22348 
mc t0:0 5560, 5985, 21816 ,22353 
mc t0:0 5555, 5985, 21783 ,22332 
mc t0:0 5595, 5951, 21808 ,22314 
mc t0:0 5560, 5960, 21796 ,22370 
mc t0:0 5560, 5968, 21833 ,22314 
mc t0:0 5560, 6021, 21771 ,22327 
mc t0:0 5573, 6016, 21796 ,22344 
mc t0:0 5542, 6003, 21816 ,22366 
mc t0:0 5537, 5964, 21771 ,22361 
mc t0:0 5547, 6016, 21804 ,22332 
mc t0:0 5519, 6016, 21791 ,22348 
mc t0:0 5542, 5947, 21812 ,22357 
mc t0:0 5550, 5998, 21791 ,22335 
mc t0:0 5560, 5960, 21783 ,22353 
mc t0:0 5577, 6034, 21799 ,22340 
mc t0:0 5511, 6024, 21771 ,22314 
mc t0:0 5581, 5955, 21766 ,22344 
mc t0:0 5560, 5955, 21808 ,22314 
mc t0:0 5519, 5968, 21820 ,22366 
mc t0:0 5577, 5977, 21787 ,22374 
mc t0:0 5568, 5981, 21825 ,22353 
mc t0:0 5573, 5955, 21804 ,22332 
mc t0:0 5519, 5998, 21825 ,22332 
mc t0:0 5595, 5955, 21796 ,22340 
mc t0:0 5537, 6011, 21796 ,22319 
mc t0:0 5524, 5998, 21779 ,22335 
mc t0:0 5595, 6034, 21825 ,22335 
mc t0:0 5568, 6021, 21804 ,22340 
mc t0:0 5581, 6016, 21825 ,22370 
mc t0:0 5599, 5977, 21816 ,22361 
mc t0:0 5581, 5937, 21783 ,22319 
mc t0:0 5581, 5990, 21808 ,22361 
mc t0:0 5591, 5998, 21762 ,22388 
mc t0:0 5568, 6016, 21820 ,22374 
mc t0:0 5568, 5994, 21766 ,22319 
mc t0:0 5568, 6016, 21799 ,22319 
mc t0:0 5529, 6042, 21783 ,22340 
mc t0:0 5564, 5951, 21828 ,22332 
mc t0:0 5564, 5960, 21799 ,22322 
